number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
76 S76_LN:i:1954_dp:f:7.432059683948108 0.19 0.81 Repeat 1954 7.43 1
86 S86_LN:i:1160_dp:f:1.9617389460340389 0.97 0.03 Repeat 1160 1.96 1
30 S30_LN:i:42354_dp:f:1.0472325373795677 0.3 0.7 Plasmid 42354 1.05 1
40 S40_LN:i:19053_dp:f:1.0423950473896286 0.48 0.52 Plasmid 19053 1.04 1
43 S43_LN:i:17277_dp:f:0.8798257502597184 0.25 0.75 Plasmid 17277 0.88 1
45 S45_LN:i:15522_dp:f:1.0309100342356343 0.31 0.69 Plasmid 15522 1.03 1
48 S48_LN:i:13424_dp:f:1.0811362950162864 0.03 0.97 Plasmid 13424 1.08 1
51 S51_LN:i:10492_dp:f:1.122363937807578 0.16 0.84 Plasmid 10492 1.12 1
58 S58_LN:i:6187_dp:f:0.7527741017091484 0.43 0.57 Plasmid 6187 0.75 1
59 S59_LN:i:5931_dp:f:0.8322978175036383 0.18 0.82 Plasmid 5931 0.83 1
63 S63_LN:i:5135_dp:f:0.5002082135225632 0.34 0.66 Plasmid 5135 0.5 2
66 S66_LN:i:4112_dp:f:1.120291251839943 0.26 0.74 Plasmid 4112 1.12 1
69 S69_LN:i:3214_dp:f:0.6070726718538706 0.15 0.85 Plasmid 3214 0.61 1
70 S70_LN:i:2816_dp:f:0.9681305297159386 0.05 0.95 Plasmid 2816 0.97 1
