number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
134 S134_LN:i:1343_dp:f:3.8906712523226403 0.11 0.89 Repeat 1343 3.89 1
100 S100_LN:i:6199_dp:f:1.1451142032972421 0.24 0.76 Plasmid 6199 1.15 1
103 S103_LN:i:5934_dp:f:1.595898898019798 0.27 0.73 Plasmid 5934 1.6 1
104 S104_LN:i:5880_dp:f:0.9879669015596203 0.11 0.89 Plasmid 5880 0.99 1
108 S108_LN:i:4787_dp:f:1.3100935711159762 0.06 0.94 Plasmid 4787 1.31 1
111 S111_LN:i:3717_dp:f:1.6433769161196836 0.09 0.91 Plasmid 3717 1.64 1
112 S112_LN:i:3535_dp:f:31.986763432905963 0.45 0.55 Plasmid 3535 31.99 2
115 S115_LN:i:2953_dp:f:0.7918730159456032 0.07 0.93 Plasmid 2953 0.79 1
116 S116_LN:i:2932_dp:f:1.1332545575600168 0.05 0.95 Plasmid 2932 1.13 1
124 S124_LN:i:2229_dp:f:1.1566778943401632 0.18 0.82 Plasmid 2229 1.16 1
130 S130_LN:i:1629_dp:f:1.912860127202415 0.06 0.94 Plasmid 1629 1.91 1
135 S135_LN:i:1330_dp:f:1.059565988735031 0.4 0.6 Plasmid 1330 1.06 1
137 S137_LN:i:1187_dp:f:1.5841170882628182 0.19 0.81 Plasmid 1187 1.58 1
58 S58_LN:i:29055_dp:f:1.6266283972289572 0.26 0.74 Plasmid 29055 1.63 1
64 S64_LN:i:24142_dp:f:0.8787889377742684 0.22 0.78 Plasmid 24142 0.88 1
68 S68_LN:i:22243_dp:f:1.7088620971967623 0.39 0.61 Plasmid 22243 1.71 1
70 S70_LN:i:19819_dp:f:1.7601015881371485 0.11 0.89 Plasmid 19819 1.76 1
72 S72_LN:i:19290_dp:f:0.8863923668151685 0.3 0.7 Plasmid 19290 0.89 1
75 S75_LN:i:17467_dp:f:0.949870233248963 0.37 0.63 Plasmid 17467 0.95 1
91 S91_LN:i:7944_dp:f:1.7549453590852624 0.14 0.86 Plasmid 7944 1.75 1
95 S95_LN:i:7421_dp:f:1.0656790179751947 0.09 0.91 Plasmid 7421 1.07 1
98 S98_LN:i:6460_dp:f:0.8681557527947281 0.23 0.77 Plasmid 6460 0.87 1
99 S99_LN:i:6256_dp:f:23.355638742228095 0.47 0.53 Plasmid 6256 23.36 2
